gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
LINC01929 - RNA5SP459	1	aggressive behavior quality, ADHD symptom measurement	Disruptive behavior (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000376, http://www.ebi.ac.uk/efo/EFO_0007860	36324656	GCST90239692
LINC01932 - UBLCP1	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
LINC01934	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
LINC01938	1	major depressive disorder	Depression (broad)	http://purl.obolibrary.org/obo/MONDO_0002009	29662059	GCST005902
LINC01938 - RN7SKP60	2	major depressive disorder; obsessive-compulsive symptom measurement	Clinical depression; Hoarding dimension in obsessive compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007802	32424139; 34586374	GCST011237; GCST90058035
LINC01940 - HDAC4	1	alcohol dependence	Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	26365420	GCST003121
LINC01950	2	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	38637617	GCST90627735; GCST90627736
LINC01950 - PSMC1P5	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
LINC01951	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
LINC01954	1	exploratory eye movement measurement	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations)	http://www.ebi.ac.uk/efo/EFO_0007700	26242244	GCST003068
LINC01957	2	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
LINC01958	2	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
LINC01965	16	attention deficit hyperactivity disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse; substance-related disorder	Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms); Externalizing behaviour (multivariate analysis); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888	23527680; 34446935; 41057643	GCST001944; GCST90061435; GCST90704949; GCST90704952; GCST90704953; GCST90704954
LINC01965 - AHCYP3	8	bipolar disorder; schizophrenia	Bipolar disorder; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090	21254220; 28991256; 30285260; 31740837; 35396580; 39753749	GCST000961; GCST004946; GCST007201; GCST009337; GCST90128471; GCST90503210; GCST90503211
LINC01967 - CMC1	1	nicotine use, generational effect measurement, illegal drug consumption, non-substance related disinhibited behaviour, alcohol drinking, alcohol dependence	Behavioural disinhibition (generation interaction)	http://www.ebi.ac.uk/efo/EFO_0005430, http://www.ebi.ac.uk/efo/EFO_0008364, http://www.ebi.ac.uk/efo/EFO_0005431, http://www.ebi.ac.uk/efo/EFO_0005432, http://www.ebi.ac.uk/efo/EFO_0004329, http://purl.obolibrary.org/obo/MONDO_0007079	23942779	GCST002131
