gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
TNKS2	1	response to ketamine	Response to esketamine (responder status) in treatment resistant depression	http://www.ebi.ac.uk/efo/EFO_0009748	32724131	GCST011397
TNN	1	obsessive-compulsive disorder	Neurocognitive measure (immediate recall) in obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	37094658	GCST90277980
TNN - KIAA0040	1	alcohol dependence	Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	21703634	GCST001121
TNNI1	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x playing computer games interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101757
TNNI1 - PHLDA3	1	longitudinal BMI measurement, trait in response to amisulpride	Weight gain in amisulpride-treated first-episode psychosis	http://www.ebi.ac.uk/efo/EFO_0005937, http://purl.obolibrary.org/obo/OBA_2040105	32126890	GCST010007
TNNI3K	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
TNNI3K - ERICH3	1	nicotine dependence symptom count	Nicotine dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0009262	25555482	GCST010105
TNR	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder (childhood)	http://www.ebi.ac.uk/efo/EFO_0003888	32279069	GCST010289
TNR - LINC01657	3	attention deficit hyperactivity disorder; major depressive disorder; schizophrenia	Attention deficit hyperactivity disorder; Depression; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888	30563984; 34586374; 35396580	GCST006916; GCST90058032; GCST90128471
TNRC6A	3	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	34446935; 35764056	GCST90061435; GCST90134330
TNS3	1	alcohol dependence measurement	Alcohol dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0007835	29460428	GCST005440
TNXB	8	autism spectrum disorder, schizophrenia; depressive symptom measurement; major depressive disorder; neurotic disorder; schizophrenia	Autism spectrum disorder or schizophrenia; Depressive symptoms; Lifetime major depressive disorder (AutoComplete Impute and observed); Neuroticism; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004257; http://www.ebi.ac.uk/efo/EFO_0007006	26198764; 28540026; 30285260; 30643256; 32231276; 37985818	GCST003048; GCST004521; GCST007201; GCST007340; GCST010017; GCST90449002
TOB2P1 - ZSCAN9	2	stress-related disorder, Anxiety, major depressive disorder	Major depressive disorder or stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098, http://purl.obolibrary.org/obo/HP_0000739, http://purl.obolibrary.org/obo/MONDO_0002009	34634379	GCST90085697
TOGARAM1 - PRPF39-DT	2	nicotine dependence symptom count	Nicotine dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0009262	25555482	GCST010105
TOGARAM2	1	response to ketamine, dissociation measurement	Response to ketamine in bipolar disorder or major depression (dissociation effects)	http://www.ebi.ac.uk/efo/EFO_0009748, http://www.ebi.ac.uk/efo/EFO_0009750	30552317	GCST007317
TOGARAM2 - PCARE	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	20125088	GCST000578
TOMM20L-DT	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
TOMM22P4 - MIR4454	3	nicotine dependence symptom count; post-traumatic stress disorder; schizophrenia	Nicotine dependence symptom count; Post-traumatic stress disorder in combat exposure; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0009262	25555482; 33510476; 35396580	GCST010105; GCST90128471; GCST90271776
TOMM22P6 - LINC01192	2	schizophrenia, sex interaction measurement	Schizophrenia x sex interaction	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343	34099189	GCST012310; GCST012311
TOMM40	4	Alzheimer disease, psychotic symptoms; depressive symptom measurement, non-high density lipoprotein cholesterol measurement; low density lipoprotein cholesterol measurement, response to antipsychotic drug	HDL x low social support interaction (2df test); LDL-cholesterol level in antipsychotic-treated schizophrenia (4-week); LDL-cholesterol level in antipsychotic-treated schizophrenia (6-week); Psychosis and Alzheimer's disease	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0005940; http://www.ebi.ac.uk/efo/EFO_0004611, http://purl.obolibrary.org/obo/GO_0097332; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689	22005930; 38336841; 40537477	GCST001285; GCST90454527; GCST90454533; GCST90570649
TOMM5 - RAB1C	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TOP6BL	2	bipolar disorder	Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	21926972; 28115744	GCST001241; GCST004139
TOPORSLP - OR13F1	2	alcohol dependence, major depressive disorder; sleep duration trait	Major depression and alcohol dependence; Sleep duration in broad depression	http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_2040171	29071344; 36463630	GCST005022; GCST90244781
TOX	5	major depressive disorder; schizophrenia, inflammatory bowel disease; social inhibition quality, attention deficit hyperactivity disorder, substance abuse; trait in response to paliperidone, schizophrenia symptom severity measurement	Depression; Externalizing behaviour (multivariate analysis); Inflammatory bowel disease or bipolar disorder (pleiotropy); Major depressive disorder (broad); Response to paliperidone in schizophrenia (PANSS score)	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0003767; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927	27846195; 34446935; 36753304; 37464041; 38177345	GCST004042; GCST90061435; GCST90271323; GCST90319327; GCST90328131
TOX-DT - RNA5SP267	1	asphyxia neonatorum	Perinatal depression	http://www.ebi.ac.uk/efo/EFO_1000824	34985809	GCST90102433
TOX2	1	conduct disorder	Conduct disorder (symptom count)	http://www.ebi.ac.uk/efo/EFO_0004216	20585324	GCST000713
TP63	1	depressive symptom measurement, stressful life event measurement	Depressive symptoms x stressful life events interaction (1df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0007781	30718454	GCST90461919
TPBG - UBE3D	2	disease recurrence, bipolar disorder, schizophrenia, major depressive disorder; schizophrenia, family history	Biological Father: Schizophrenia; Schizophrenia, bipolar disorder or recurrent major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0000493; http://www.ebi.ac.uk/efo/EFO_0004952, http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009	34099189; 39024449	GCST012291; GCST90479578
TPD52L3 - UHRF2	2	anxiety measurement, triglyceride measurement	Triglycerides x anxiety interaction (1df test); Triglycerides x anxiety interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004530	40537477	GCST90570707; GCST90570708
TPO	1	low density lipoprotein cholesterol measurement, response to antipsychotic drug	LDL-cholesterol level in antipsychotic-treated schizophrenia (6-week)	http://www.ebi.ac.uk/efo/EFO_0004611, http://purl.obolibrary.org/obo/GO_0097332	38336841	GCST90454533
TPT1P9 - LINC02578	3	mental or behavioural disorder; response to antipsychotic drug; schizophrenia	Bipolar disorder and schizophrenia; Response to antipsychotic therapy (extrapyramidal side effects); Schizophrenia	http://purl.obolibrary.org/obo/GO_0097332; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0000677	19571808; 19875103; 20889312	GCST000435; GCST000514; GCST000821
TPTE2-AS1 - MPHOSPH8	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	40962958	GCST90568440
TPX2 - ATP5MFP7	1	oppositional defiant disorder measurement	Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0007679	26184070	GCST003030
TRA2A - CLK2P1	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
TRA2B - NMRAL2P	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
TRABD2A - RPS2P17	1	low density lipoprotein cholesterol measurement, response to antipsychotic drug	LDL-cholesterol level in antipsychotic-treated schizophrenia (6-week)	http://www.ebi.ac.uk/efo/EFO_0004611, http://purl.obolibrary.org/obo/GO_0097332	38336841	GCST90454533
TRAF3	9	attention deficit hyperactivity disorder, schizophrenia, type 2 diabetes mellitus, major depressive disorder; brain attribute, schizophrenia, dorsolateral prefrontal cortex functionality attribute; major depressive disorder; post-traumatic stress disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction); Depression; Externalizing behaviour (multivariate analysis); Major depressive disorder (MTAG); Major depressive disorder (broad); Post-traumatic stress disorder; Type 2 diabetes and Attention deficit hiperactivty disorder or Major depressive disorder or schyzophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://purl.obolibrary.org/obo/OBA_2045210, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/OBA_2045277; http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009	19023125; 33479212; 34446935; 36738649; 37464041; 38177345; 38637617	GCST000271; GCST012090; GCST90061435; GCST90319327; GCST90328131; GCST90624685; GCST90627735; GCST90627736
TRAF3 - AMN	2	anxiety disorder; post-traumatic stress disorder	Anxiety disorder; Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0006788	38637617; 39294497	GCST90451690; GCST90627736
TRAF3IP2	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
TRAF3IP2-AS1	7	depressive episode measurement; manic episode measurement, depressive episode measurement; schizophrenia; smoking status measurement, Cannabis use, schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Cannabis smoking or cigarette smoking or schizophrenia; Depressive and manic episodes in bipolar disorder; Depressive episodes in bipolar disorder; Externalizing behaviour (multivariate analysis); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0006527, http://www.ebi.ac.uk/efo/EFO_0007585, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007704; http://www.ebi.ac.uk/efo/EFO_0007705, http://www.ebi.ac.uk/efo/EFO_0007704	26198764; 26297903; 34446935; 35235886; 35396580; 39753749	GCST003048; GCST003090; GCST003091; GCST90061435; GCST90103805; GCST90128471; GCST90503210
TRAIP	6	anxiety disorder; attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; substance-related disorder	Anxiety disorder; Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_0006788	35764056; 39294497; 41057643	GCST90134330; GCST90451690; GCST90704949; GCST90704953
TRAM2-AS1 - TMEM14A	1	alcohol dependence	Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	33290381	GCST011955
TRANK1	6	bipolar disorder; bipolar disorder, ulcerative colitis; schizophrenia	Bipolar disorder; Bipolar disorder or ulcerative colitis (MTAG); Schizophrenia; Schizophrenia (MTAG)	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000729; http://purl.obolibrary.org/obo/MONDO_0005090	28991256; 30285260; 31043756; 31740837; 33479212; 38154582	GCST004946; GCST007201; GCST008103; GCST009337; GCST012089; GCST90454587
TRAPPC12	1	alcohol dependence	Alcohol dependence (codominant genetic model)	http://purl.obolibrary.org/obo/MONDO_0007079	36551763	GCST90245782
TRAPPC3	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
TRAPPC8	1	memory performance, cognitive function measurement, major depressive disorder	Depression, cognition and memory (multivariate analysis)	http://www.ebi.ac.uk/efo/EFO_0004874, http://www.ebi.ac.uk/efo/EFO_0008354, http://purl.obolibrary.org/obo/MONDO_0002009	35907915	GCST90134646
TRAPPC9	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	29317602	GCST005231
TRARG1 - YWHAE	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TRAV24 - TRAV25	1	major depressive disorder	Clinical depression	http://purl.obolibrary.org/obo/MONDO_0002009	34586374	GCST90058035
TRD-AS1	1	Anxiety	Anxiety	http://purl.obolibrary.org/obo/HP_0000739	37146008	GCST90281298
TRDN	1	Borderline personality disorder	Borderline personality disorder	http://purl.obolibrary.org/obo/HP_0012076	28632202	GCST004641
TRHDE	5	alcohol dependence, major depressive disorder; depressive symptom measurement; obsessive-compulsive disorder, major depressive episode, attention deficit hyperactivity disorder, schizophrenia, anorexia nervosa, obesity; schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Depressive symptoms; Externalizing behaviour (multivariate analysis); Major depression and alcohol dependence; Obesity class II and Attention deficit hyperactivity disorder or Anorexia nervosa or Major depressive disorder or Obsesive-compulsive disorder or Schizophrenia; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007634, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073; http://www.ebi.ac.uk/efo/EFO_0007006	29071344; 30643256; 34446935; 35396580; 36137488	GCST005022; GCST007340; GCST90061435; GCST90128471; GCST90624575
TRHDE - LINC02444	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x playing computer games interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101757
TRHDE-AS1	2	depressive symptom measurement; schizophrenia	Depressive symptoms; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007006	30643256; 35396580	GCST007340; GCST90128471
TRHR - NUDCD1	1	schizophrenia, intelligence, self reported educational attainment	Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	31374203	GCST008595
TRIB1 - TRIB1AL	1	depressive symptom measurement, low density lipoprotein cholesterol measurement	LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570687
TRIB1AL	17	anxiety measurement, low density lipoprotein cholesterol measurement; anxiety measurement, non-high density lipoprotein cholesterol measurement; anxiety measurement, triglyceride measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, non-high density lipoprotein cholesterol measurement; response to antipsychotic drug; trait in response to paliperidone, schizophrenia symptom severity measurement; triglyceride measurement, depressive symptom measurement	HDL x anxiety interaction (2df test); HDL x depression interaction (2df test); HDL x low social support interaction (2df test); LDL x anxiety interaction (2df test); LDL x depression interaction (2df test); Response to antipsychotic treatment in schizophrenia; Response to paliperidone in schizophrenia (negative Marder score); Triglycerides x anxiety interaction (2df test); Triglycerides x depression interaction (2df test)	http://purl.obolibrary.org/obo/GO_0097332; http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927; http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004530; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0005689	27846195; 39562719; 40537477	GCST004041; GCST90472772; GCST90472773; GCST90570667; GCST90570669; GCST90570671; GCST90570673; GCST90570677; GCST90570679; GCST90570691; GCST90570695; GCST90570697; GCST90570699; GCST90570701; GCST90570703; GCST90570707; GCST90570709
TRIB2 - LINC00276	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	31969693	GCST009979
TRIM10	1	autism spectrum disorder, schizophrenia	Autism spectrum disorder or schizophrenia	http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090	28540026	GCST004521
TRIM10 - TRIM15	2	major depressive disorder	Depression (broad)	http://purl.obolibrary.org/obo/MONDO_0002009	36750733	GCST90281043; GCST90281044
TRIM26	8	attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder; autism spectrum disorder, schizophrenia; major depressive disorder; schizophrenia	Autism spectrum disorder or schizophrenia; Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined); Help-seeking from a GP (without major depressive disorder symptoms); Help-seeking from a psychiatrist; Major depressive disorder; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009	21926974; 22883433; 23453885; 28540026; 30285260; 32231276; 34634379	GCST001242; GCST001631; GCST001877; GCST004521; GCST007201; GCST010012; GCST010014; GCST90085695
TRIM27	2	depressive symptom measurement; schizophrenia	Depressive symptoms (sum-score); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007006	30285260; 39472661	GCST007201; GCST90565438
TRIM31	2	autism spectrum disorder, schizophrenia; major depressive disorder	Autism spectrum disorder or schizophrenia; Depression (broad)	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090	28540026; 29662059	GCST004521; GCST005902
TRIM31-AS1	2	autism spectrum disorder, schizophrenia; major depressive disorder	Autism spectrum disorder or schizophrenia; Depression (broad)	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090	28540026; 29662059	GCST004521; GCST005902
TRIM31-AS1 - TRIM40	1	bipolar disorder, Crohn's disease	Bipolar disorder or Crohn's disease (MTAG)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000384	38154582	GCST90454588
TRIM33	2	anorexia nervosa; autism	Autism; Typical-onset anorexia nervosa	http://purl.obolibrary.org/obo/MONDO_0005351; http://www.ebi.ac.uk/efo/EFO_0003758	24189344; 36324647	GCST002268; GCST90239647
TRIM33 - PKMP1	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TRIM33; TRIM33 - PKMP1; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33	1	autism	Autism	http://www.ebi.ac.uk/efo/EFO_0003758	24189344	GCST002268
TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33	1	autism	Autism	http://www.ebi.ac.uk/efo/EFO_0003758	24189344	GCST002268
TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33	1	autism	Autism	http://www.ebi.ac.uk/efo/EFO_0003758	24189344	GCST002268
TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33; TRIM33	1	autism	Autism	http://www.ebi.ac.uk/efo/EFO_0003758	24189344	GCST002268
TRIM36 - PGGT1B	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TRIM37	3	information processing speed, cognitive function measurement, major depressive disorder; schizophrenia, obsessive-compulsive symptom measurement, anorexia nervosa, type 2 diabetes mellitus	Cognitive function (processing speed) x major depressive disorder interaction (1df); Cognitive function (processing speed) x major depressive disorder interaction (2df); Type 2 diabetes and Anorexia nervosa or schyzophrenia or obsessive compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0007802, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0004363, http://www.ebi.ac.uk/efo/EFO_0008354, http://purl.obolibrary.org/obo/MONDO_0002009	34782712; 36738649	GCST90096937; GCST90096938; GCST90624690
TRIM39-RPP21	1	anxiety measurement	Anxiety	http://www.ebi.ac.uk/efo/EFO_0009863	33859377	GCST012354
TRIM42	1	bipolar disorder, body mass index	Bipolar disorder (body mass index interaction)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0004340	24322204	GCST002306
TRIM44	2	major depressive disorder; response to antipsychotic drug	Major depressive disorder in trauma exposed individuals; Response to antipsychotic therapy (extrapyramidal side effects)	http://purl.obolibrary.org/obo/GO_0097332; http://purl.obolibrary.org/obo/MONDO_0002009	19875103; 31969693	GCST000514; GCST009980
TRIM44 - KRT18P14	2	major depressive disorder	Major depressive disorder; Recurrent major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	29317602	GCST005230; GCST005231
TRIM46 - MUC1	2	bipolar disorder, blood urea nitrogen amount; urate measurement, bipolar disorder	Bipolar disorder or blood urea nitrogen levels (MTAG); Bipolar disorder or urate levels (MTAG)	http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/OBA_VT0005265; http://www.ebi.ac.uk/efo/EFO_0004531, http://purl.obolibrary.org/obo/MONDO_0004985	38858783	GCST90446209; GCST90446213
TRIM51	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	30563984	GCST006916
TRIM55	1	major depressive disorder	Recurrent major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	29317602	GCST005230
TRIM59-IFT80	1	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	34177453	GCST90020063
TRIM71 - CCR4	5	alcohol dependence, major depressive disorder; psychosis predisposition measurement	Major depression and alcohol dependence; Psychosis proneness (hypomanic personality scale and revised social anhedonia scale); Psychosis proneness (perceptual aberration scale and revised social anhedonia scale); Psychosis proneness (revised physical anhedonia scale and revised social anhedonia scale); Psychosis proneness (revised social anhedonia scale)	http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0008337	28525603; 29071344	GCST004682; GCST004683; GCST004684; GCST004686; GCST005022
TRIM77 - UBTFL2	1	Anxiety	Anxiety in major depressive disorder	http://purl.obolibrary.org/obo/HP_0000739	24047446	GCST002202
TRIM8	6	major depressive disorder; schizophrenia; smoking status measurement, Cannabis use, schizophrenia	Cannabis smoking or cigarette smoking or schizophrenia; Depression; Major depressive disorder; Major depressive disorder (broad); Schizophrenia; Schizophrenia (MTAG)	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0006527, http://www.ebi.ac.uk/efo/EFO_0007585, http://purl.obolibrary.org/obo/MONDO_0005090	33479212; 34045744; 35235886; 37464041; 38177345; 39753749	GCST012089; GCST90020227; GCST90103805; GCST90319327; GCST90328131; GCST90503211
TRIM8 - ARL3	3	autism spectrum disorder, schizophrenia; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; schizophrenia	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Autism spectrum disorder or schizophrenia; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009	28540026; 30285260; 31835028	GCST004521; GCST007201; GCST009600
